"ts","soc"
2024-02-20 16:20:00.000,96
2024-02-20 16:23:00.000,96
2024-02-20 16:24:00.000,96
2024-02-20 16:25:00.000,95
2024-02-20 16:30:00.000,95
2024-02-20 16:33:00.000,95
2024-02-20 16:35:00.000,94
2024-02-20 16:36:00.000,94
2024-02-20 16:40:00.000,94
2024-02-20 16:45:00.000,93
2024-02-20 16:50:00.000,92
2024-02-20 16:55:00.000,92
2024-02-20 16:57:00.000,91
2024-02-20 16:58:00.000,91
2024-02-20 17:00:00.000,91
2024-02-20 17:05:00.000,90
2024-02-20 17:10:00.000,90
2024-02-20 17:15:00.000,89
2024-02-20 17:20:00.000,88
2024-02-20 17:25:00.000,88
2024-02-20 17:30:00.000,87
2024-02-20 17:35:00.000,87
2024-02-20 17:40:00.000,86
2024-02-20 17:45:00.000,85
2024-02-20 17:50:00.000,85
2024-02-20 17:51:00.000,84
2024-02-20 17:55:00.000,84
2024-02-20 17:58:00.000,84
2024-02-20 18:00:00.000,83
2024-02-20 18:02:00.000,83
2024-02-20 18:03:00.000,83
2024-02-20 18:04:00.000,83
2024-02-20 18:05:00.000,83
2024-02-20 18:08:00.000,82
2024-02-20 18:09:00.000,82
2024-02-20 18:10:00.000,82
2024-02-20 18:15:00.000,81
2024-02-20 18:19:00.000,81
2024-02-20 18:20:00.000,81
2024-02-20 18:22:00.000,80
2024-02-20 18:25:00.000,80
2024-02-20 18:28:00.000,80
2024-02-20 18:29:00.000,80
2024-02-20 18:30:00.000,79
2024-02-20 18:35:00.000,79
2024-02-20 18:40:00.000,78
2024-02-20 18:41:00.000,78
2024-02-20 18:44:00.000,78
2024-02-20 18:45:00.000,78
2024-02-20 18:47:00.000,78
2024-02-20 18:50:00.000,77
2024-02-20 18:55:00.000,77
2024-02-20 19:00:00.000,76
2024-02-20 19:02:00.000,76
2024-02-20 19:05:00.000,76
2024-02-20 19:06:00.000,76
2024-02-20 19:07:00.000,76
2024-02-20 19:08:00.000,75
2024-02-20 19:10:00.000,75
2024-02-20 19:15:00.000,75
2024-02-20 19:18:00.000,74
2024-02-20 19:20:00.000,74
2024-02-20 19:25:00.000,74
2024-02-20 19:30:00.000,73
2024-02-20 19:33:00.000,73
2024-02-20 19:35:00.000,73
2024-02-20 19:36:00.000,72
2024-02-20 19:38:00.000,72
2024-02-20 19:40:00.000,72
2024-02-20 19:45:00.000,72
2024-02-20 19:46:00.000,71
2024-02-20 19:50:00.000,71
2024-02-20 19:55:00.000,71
2024-02-20 20:00:00.000,70
2024-02-20 20:05:00.000,70
2024-02-20 20:10:00.000,69
2024-02-20 20:15:00.000,68
2024-02-20 20:20:00.000,68
2024-02-20 20:25:00.000,67
2024-02-20 20:30:00.000,67
2024-02-20 20:34:00.000,67
2024-02-20 20:35:00.000,66
2024-02-20 20:39:00.000,66
2024-02-20 20:40:00.000,66
2024-02-20 20:45:00.000,66
2024-02-20 20:50:00.000,65
2024-02-20 20:54:00.000,65
2024-02-20 20:55:00.000,65
2024-02-20 21:00:00.000,64
2024-02-20 21:05:00.000,64
2024-02-20 21:10:00.000,63
2024-02-20 21:15:00.000,63
2024-02-20 21:20:00.000,62
2024-02-20 21:25:00.000,62
2024-02-20 21:30:00.000,62
2024-02-20 21:35:00.000,61
2024-02-20 21:40:00.000,61
2024-02-20 21:45:00.000,61
2024-02-20 21:50:00.000,60
2024-02-20 21:55:00.000,60
2024-02-20 22:00:00.000,59
2024-02-20 22:05:00.000,59
2024-02-20 22:10:00.000,58
2024-02-20 22:15:00.000,58
2024-02-20 22:20:00.000,58
2024-02-20 22:25:00.000,57
2024-02-20 22:30:00.000,57
2024-02-20 22:31:00.000,57
2024-02-20 22:32:00.000,57
2024-02-20 22:35:00.000,56
2024-02-20 22:39:00.000,56
2024-02-20 22:40:00.000,56
2024-02-20 22:45:00.000,55
2024-02-20 22:50:00.000,55
2024-02-20 22:55:00.000,55
2024-02-20 23:00:00.000,54
2024-02-20 23:05:00.000,54
2024-02-20 23:10:00.000,53
2024-02-20 23:15:00.000,53
2024-02-20 23:20:00.000,52
2024-02-20 23:25:00.000,52
2024-02-20 23:30:00.000,52
2024-02-20 23:35:00.000,51
2024-02-20 23:40:00.000,51
2024-02-20 23:45:00.000,50
2024-02-20 23:50:00.000,50
2024-02-20 23:55:00.000,50
2024-02-21 00:00:00.000,49
2024-02-21 00:05:00.000,49
2024-02-21 00:10:00.000,48
2024-02-21 00:15:00.000,48
2024-02-21 00:20:00.000,48
2024-02-21 00:25:00.000,47
2024-02-21 00:30:00.000,47
2024-02-21 00:35:00.000,46
2024-02-21 00:40:00.000,46
2024-02-21 00:45:00.000,45
2024-02-21 00:50:00.000,45
2024-02-21 00:55:00.000,45
2024-02-21 01:00:00.000,44
2024-02-21 01:05:00.000,44
2024-02-21 01:10:00.000,43
2024-02-21 01:15:00.000,43
2024-02-21 01:20:00.000,43
2024-02-21 01:25:00.000,42
2024-02-21 01:30:00.000,42
2024-02-21 01:35:00.000,41
2024-02-21 01:40:00.000,41
2024-02-21 01:44:00.000,41
2024-02-21 01:45:00.000,41
2024-02-21 01:48:00.000,40
2024-02-21 01:50:00.000,40
2024-02-21 01:55:00.000,40
2024-02-21 02:00:00.000,39
2024-02-21 02:05:00.000,39
2024-02-21 02:10:00.000,39
2024-02-21 02:15:00.000,38
2024-02-21 02:20:00.000,38
2024-02-21 02:25:00.000,37
2024-02-21 02:30:00.000,37
2024-02-21 02:35:00.000,36
2024-02-21 02:40:00.000,36
2024-02-21 02:45:00.000,36
2024-02-21 02:50:00.000,35
2024-02-21 02:55:00.000,35
2024-02-21 03:00:00.000,34
2024-02-21 03:05:00.000,34
2024-02-21 03:10:00.000,34
2024-02-21 03:15:00.000,33
2024-02-21 03:20:00.000,33
2024-02-21 03:25:00.000,32
2024-02-21 03:30:00.000,32
2024-02-21 03:34:00.000,31
2024-02-21 03:35:00.000,31
2024-02-21 03:40:00.000,31
2024-02-21 03:45:00.000,30
2024-02-21 03:50:00.000,30
2024-02-21 03:55:00.000,29
2024-02-21 04:00:00.000,29
2024-02-21 04:05:00.000,28
2024-02-21 04:10:00.000,28
2024-02-21 04:15:00.000,28
2024-02-21 04:20:00.000,27
2024-02-21 04:25:00.000,27
2024-02-21 04:30:00.000,27
2024-02-21 04:35:00.000,25
2024-02-21 04:39:00.000,25
2024-02-21 04:40:00.000,24
2024-02-21 04:45:00.000,24
2024-02-21 04:49:00.000,23
2024-02-21 04:50:00.000,23
2024-02-21 04:55:00.000,23
2024-02-21 04:57:00.000,23
2024-02-21 04:58:00.000,22
2024-02-21 05:00:00.000,22
2024-02-21 05:05:00.000,22
2024-02-21 05:10:00.000,22
2024-02-21 05:15:00.000,22
2024-02-21 05:17:00.000,22
2024-02-21 05:18:00.000,22
2024-02-21 05:20:00.000,21
2024-02-21 05:25:00.000,22
2024-02-21 05:26:00.000,22
2024-02-21 05:30:00.000,22
